,contour,moments,area_pixels,area_Hm^2
34,"[[[949 306]]

 [[947 311]]

 [[943 315]]

 [[943 317]]

 [[948 322]]

 [[948 326]]

 [[946 329]]

 [[946 333]]

 [[948 336]]

 [[948 347]]

 [[958 350]]

 [[961 353]]

 [[970 353]]

 [[975 338]]

 [[970 334]]

 [[967 329]]

 [[967 320]]

 [[963 319]]

 [[960 316]]

 [[957 309]]

 [[952 306]]]","[958, 331]",888.5,162.26532252173277
35,"[[[887 271]]

 [[878 276]]

 [[877 292]]

 [[882 306]]

 [[882 311]]

 [[890 320]]

 [[885 331]]

 [[889 335]]

 [[890 346]]

 [[894 351]]

 [[895 355]]

 [[898 357]]

 [[895 363]]

 [[897 369]]

 [[901 373]]

 [[901 375]]

 [[904 375]]

 [[902 369]]

 [[903 365]]

 [[909 361]]

 [[915 362]]

 [[916 369]]

 [[919 370]]

 [[925 376]]

 [[925 381]]

 [[923 385]]

 [[926 385]]

 [[931 389]]

 [[940 388]]

 [[940 393]]

 [[943 393]]

 [[941 389]]

 [[940 380]]

 [[934 375]]

 [[933 368]]

 [[927 362]]

 [[927 356]]

 [[930 352]]

 [[932 352]]

 [[932 347]]

 [[926 331]]

 [[923 327]]

 [[923 324]]

 [[917 323]]

 [[912 318]]

 [[912 315]]

 [[904 307]]

 [[904 298]]

 [[899 290]]

 [[897 279]]

 [[891 271]]]","[905, 330]",3023.5,552.1769303820586
36,"[[[920 256]]

 [[913 270]]

 [[907 272]]

 [[907 277]]

 [[918 302]]

 [[917 308]]

 [[923 310]]

 [[926 313]]

 [[926 315]]

 [[930 318]]

 [[929 321]]

 [[932 325]]

 [[935 325]]

 [[936 317]]

 [[931 318]]

 [[928 313]]

 [[929 306]]

 [[926 300]]

 [[924 288]]

 [[925 278]]

 [[921 278]]

 [[917 274]]

 [[917 269]]

 [[920 265]]]","[919, 290]",559.0,102.08926875593542
37,"[[[963 246]]

 [[956 258]]

 [[954 280]]

 [[957 280]]

 [[965 289]]

 [[969 286]]

 [[974 286]]

 [[975 290]]

 [[982 297]]

 [[985 297]]

 [[985 274]]

 [[982 268]]

 [[981 259]]

 [[975 251]]]","[970, 270]",1039.0,189.7508948791
38,"[[[889 221]]

 [[883 228]]

 [[885 245]]

 [[888 250]]

 [[891 263]]

 [[900 266]]

 [[900 262]]

 [[904 257]]

 [[913 252]]

 [[914 247]]

 [[911 240]]

 [[901 232]]

 [[899 226]]

 [[895 222]]]","[896, 243]",823.0,150.30316312367594
39,"[[[724 151]]

 [[716 156]]

 [[707 171]]

 [[706 177]]

 [[707 182]]

 [[712 183]]

 [[717 188]]

 [[722 200]]

 [[729 207]]

 [[731 213]]

 [[739 223]]

 [[739 226]]

 [[743 233]]

 [[739 234]]

 [[738 232]]

 [[736 232]]

 [[739 242]]

 [[739 253]]

 [[743 254]]

 [[746 252]]

 [[745 244]]

 [[749 239]]

 [[751 239]]

 [[751 237]]

 [[747 236]]

 [[744 233]]

 [[740 215]]

 [[748 212]]

 [[750 208]]

 [[750 203]]

 [[748 200]]

 [[748 193]]

 [[750 187]]

 [[744 185]]

 [[741 182]]

 [[739 173]]

 [[734 163]]

 [[732 152]]]","[730, 190]",1842.5,336.49280444152237
40,"[[[785 125]]

 [[777 126]]

 [[771 132]]

 [[767 134]]

 [[759 134]]

 [[751 140]]

 [[749 139]]

 [[749 137]]

 [[747 137]]

 [[747 142]]

 [[750 141]]

 [[751 143]]

 [[754 143]]

 [[756 145]]

 [[756 148]]

 [[754 150]]

 [[754 157]]

 [[757 165]]

 [[757 171]]

 [[760 174]]

 [[765 169]]

 [[769 169]]

 [[776 173]]

 [[776 158]]

 [[763 145]]

 [[763 139]]

 [[765 136]]

 [[773 132]]

 [[774 136]]

 [[780 139]]

 [[786 150]]

 [[791 149]]

 [[788 142]]

 [[780 137]]

 [[780 131]]

 [[788 129]]]","[767, 150]",743.0,135.6928921031485
41,"[[[826 118]]

 [[823 121]]

 [[825 137]]

 ...

 [[834 131]]

 [[831 126]]

 [[831 119]]]","[744, 407]",65830.0,12022.42676601651
42,"[[[855  98]]

 [[841 110]]

 [[841 124]]

 [[845 131]]

 [[850 135]]

 [[865 154]]

 [[863 162]]

 [[866 162]]

 [[870 159]]

 [[870 151]]

 [[874 144]]

 [[874 141]]

 [[870 138]]

 [[870 132]]

 [[878 129]]

 [[881 125]]

 [[881 118]]

 [[878 114]]

 [[878 111]]

 [[869 101]]

 [[862  98]]]","[861, 123]",1471.0,268.6463583899481
43,"[[[749  79]]

 [[742  84]]

 [[739  89]]

 [[739  92]]

 [[747 106]]

 [[751 119]]

 [[753 121]]

 [[759 122]]

 [[762 121]]

 [[771 112]]

 [[775  99]]

 [[773  92]]

 [[762  79]]]","[757, 98]",1057.5,193.12952005259697
